"Name","Count","Chance","Weight","Comment"
,,,,
"2 to 4 time","--","--","--",
"minecraft:diamond","1..3","2.1%","5/237",
"minecraft:iron_ingot","1..5","6.3%","15/237",
"minecraft:gold_ingot","2..7","6.3%","15/237",
"minecraft:emerald","1..3","6.3%","15/237",
"minecraft:bone","4..6","10.5%","25/237",
"minecraft:spider_eye","1..3","10.5%","25/237",
"minecraft:rotten_flesh","3..7","10.5%","25/237",
"minecraft:saddle","1","8.4%","20/237",
"minecraft:copper_horse_armor","1","6.3%","15/237",
"minecraft:iron_horse_armor","1","6.3%","15/237",
"minecraft:golden_horse_armor","1","4.2%","10/237",
"minecraft:diamond_horse_armor","1","2.1%","5/237",
"minecraft:enchanted_book","1","4.2%","10/237","enchantments: #on_random_loot"
"minecraft:golden_apple","1","8.4%","20/237",
"minecraft:enchanted_golden_apple","1","0.84%","2/237",
"empty",,"6.3%","15/237",
——,——,——,——,——
"4 time","--","--","--",
"minecraft:bone","1..8","20%","10/50",
"minecraft:gunpowder","1..8","20%","10/50",
"minecraft:rotten_flesh","1..8","20%","10/50",
"minecraft:string","1..8","20%","10/50",
"minecraft:sand","1..8","20%","10/50",
——,——,——,——,——
"1 time","--","--","--",
"empty",,"57.1%","4/7",
"minecraft:dune_armor_trim_smithing_template","2","14.3%","1/7",
"minecraft:enchanted_book","1","28.6%","2/7","enchantments: unbreaking"
